,Æ¯ÇãÁ¦¸ñ,Æ¯ÇãÄÚµå,Àû¿ë±¹°¡,Inventor,assignee,google patent link,Ãâ¿ø³¯Â¥,pdf link,ÀÎ¿ëÈ½¼ö
4555,"
  Method and system for testing software for autonomous vehicles
",DE102016220670A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102016220670A1/en,2017-05-11,https://patentimages.storage.googleapis.com/3e/f5/3d/f12c04f88d251e/DE102016220670A1.pdf,3
4556,"
  SYSTEM AND METHOD FOR ASSESSING THE INTERIOR OF AN AUTONOMOUS VEHICL",DE102017125484A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017125484A1/en,2018-05-09,https://patentimages.storage.googleapis.com/d8/5d/ac/8076f903660bff/DE102017125484A1.pdf,3
4557,"
  Powertrain NVH control methods and systems in a vehicl",DE102018100180A1,"US, CN, DE, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102018100180A1/en,2018-07-12,https://patentimages.storage.googleapis.com/3a/42/26/044528acaecaf6/DE102018100180A1.pdf,3
4558,"
  Operation of autonomous vehicles on the basis of interactive model-predictive contro",DE102017102605A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017102605A1/en,2017-09-07,https://patentimages.storage.googleapis.com/2b/26/c3/71a510410ade55/DE102017102605A1.pdf,3
4559,Traffic signal prediction,US9558408B2,"US, CN, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9558408B2/en,2017-01-31,https://patentimages.storage.googleapis.com/c0/c1/91/c812550215b2cd/US9558408.pdf,93
4560,"
  VEHICLE SIGNAL DETECTION BLIN",DE102016123878A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102016123878A1/en,2017-06-22,https://patentimages.storage.googleapis.com/2d/c2/88/675272cae5c83d/DE102016123878A1.pdf,93
4561,Network based storage of vehicle and infrastructure data for optimizing vehicle routing,US10690507B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10690507B2/en,2020-06-23,https://patentimages.storage.googleapis.com/21/71/92/813824e9585f1e/US10690507.pdf,20
4562,Semi-autonomous mode control,US9511764B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9511764B2/en,2016-12-06,https://patentimages.storage.googleapis.com/92/eb/a1/e83a824972a5a4/US9511764.pdf,23
4563,Remote vehicle monitoring,US9175966B2,"US, CN, DE, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9175966B2/en,2015-11-03,https://patentimages.storage.googleapis.com/19/c9/68/b499f731ca577f/US9175966.pdf,16
4564,Predicting vehicle movements based on driver body language,US11126877B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc.",https://patents.google.com/patent/US11126877B2/en,2021-09-21,https://patentimages.storage.googleapis.com/6a/c8/0b/8d88124057895e/US11126877.pdf,12
4565,"
  METHOD FOR PROGNOSTICING THE BATTERY LIFE
",DE102018131626A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102018131626A1/en,2019-06-13,https://patentimages.storage.googleapis.com/38/fe/4c/efe6cf9c6cd648/DE102018131626A1.pdf,3
4566,"
  DYNAMIC CLIMATE CONTROL FOR AUTONOMOUS VEHICLE",DE102017112312A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017112312A1/en,2017-12-07,https://patentimages.storage.googleapis.com/fc/c0/95/155431f63172f8/DE102017112312A1.pdf,3
4567,Method and device for generating test cases for autonomous vehicles,US10255168B2,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10255168B2/en,2019-04-09,https://patentimages.storage.googleapis.com/ac/17/8d/c28b2418b8b6a6/US10255168.pdf,18
4568,Multi-stage airbag in vehicle with reconfigurable interior,US9108584B2,US,,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9108584B2/en,2015-08-18,https://patentimages.storage.googleapis.com/cf/1d/9b/93576a8f3e4c0a/US9108584.pdf,34
4569,Low- and high-fidelity classifiers applied to road-scene imag,US20170206434A1,US,,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20170206434A1/en,2017-07-20,https://patentimages.storage.googleapis.com/a4/c5/5d/67ebdde4894107/US20170206434A1.pdf,34
4570,Post-impact path assist for vehicles,US8930060B1,"US, CN, DE, MX, RU",,Ford Global Technologies,https://patents.google.com/patent/US8930060B1/en,2015-01-06,https://patentimages.storage.googleapis.com/cb/8d/01/cabf1b4550abbf/US8930060.pdf,5
4571,"
  When leaving the vehicle activated shutdow",DE102015201997A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102015201997A1/en,2015-08-13,https://patentimages.storage.googleapis.com/b4/b5/63/3e94b972dc1633/DE102015201997A1.pdf,5
4572,Brake light detection,US10853673B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10853673B2/en,2020-12-01,https://patentimages.storage.googleapis.com/ae/eb/00/c757754e956b7f/US10853673.pdf,13
4573,"
  SYSTEM AND METHOD FOR ASSESSING THE INTERIOR OF AN AUTONOMOUS VEHICLE
",DE102018102285A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102018102285A1/en,2018-08-09,https://patentimages.storage.googleapis.com/c9/ea/2c/5d6a3ecc1c3326/DE102018102285A1.pdf,13
4574,Object detection and method for vehicle door assist system,US9777528B2,"US, CN, DE, MX",,"Ford Global Technologies, Inc.",https://patents.google.com/patent/US9777528B2/en,2017-10-03,https://patentimages.storage.googleapis.com/10/e8/58/8a464a261958dc/US9777528.pdf,161
4575,"
  Detection of unauthorized passengers or objects in an autonomous vehicl",DE102016116910A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102016116910A1/en,2017-03-23,https://patentimages.storage.googleapis.com/18/f1/48/f7eca773b819a6/DE102016116910A1.pdf,161
4576,Vehicle virtual map,US10152058B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10152058B2/en,2018-12-11,https://patentimages.storage.googleapis.com/d8/2b/f0/8ca068977879d9/US10152058.pdf,12
4577,"
  Management of fault conditions of autonomous vehicles
",DE102017118537A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017118537A1/en,2018-02-15,https://patentimages.storage.googleapis.com/cb/a8/b4/92b4b312720ff8/DE102017118537A1.pdf,11
4578,Methods and apparatus for autonomous vehicle scheduling,US10607192B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10607192B2/en,2020-03-31,https://patentimages.storage.googleapis.com/1c/4e/59/c1840908265eeb/US10607192.pdf,40
4579,Probabilistic inference using weighted-integrals-and-sums-by-hashing for object tracking,US10229363B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10229363B2/en,2019-03-12,https://patentimages.storage.googleapis.com/ae/2e/66/f81b4146e95fb8/US10229363.pdf,28
4580,Pedestrian detection and motion prediction with rear-facing camera,US10055652B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10055652B2/en,2018-08-21,https://patentimages.storage.googleapis.com/ab/84/70/73713351d89a4a/US10055652.pdf,20
4581,Methods and apparatus for adaptively assisting developmentally disabled or cognitively impaired drivers,US10449968B2,US,,Ford Motor Company,https://patents.google.com/patent/US10449968B2/en,2019-10-22,https://patentimages.storage.googleapis.com/63/a4/a8/f744a194ee72d3/US10449968.pdf,49
4582,Device and method for assisting a driver in driving his vehicle into and out of a parking space in a parking facility,US10062289B2,"WO, US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10062289B2/en,2018-08-28,https://patentimages.storage.googleapis.com/6f/82/5d/9233c1e7f6986c/US10062289.pdf,19
4583,"
  System and method for gesture-based control of a vehicle doo",DE102016112576A1,"US, CN, DE, MX",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102016112576A1/en,2017-02-02,https://patentimages.storage.googleapis.com/9a/50/fa/b806b13c86e7d4/DE102016112576A1.pdf,19
4584,Fixation Generation For Machine Learni,US20210334610A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20210334610A1/en,2021-10-28,https://patentimages.storage.googleapis.com/9b/3a/0a/98cfb764e72fa3/US20210334610A1.pdf,19
4585,"
  Movable vehicle module system
",DE202019104511U1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE202019104511U1/en,2019-11-25,https://patentimages.storage.googleapis.com/1b/fd/82/08257f5dda125a/DE202019104511U1.pdf,19
4586,Object detection using recurrent neural network and concatenated feature map,US11062167B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US11062167B2/en,2021-07-13,https://patentimages.storage.googleapis.com/ad/d0/d5/59ff33498aa43e/US11062167.pdf,8
4587,Route generation using road lane line quality,US10345111B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10345111B2/en,2019-07-09,https://patentimages.storage.googleapis.com/35/4f/da/c0e0749225e912/US10345111.pdf,16
4588,"
  DELAY DETERMINATION OF A VEHICL",DE102016123644A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102016123644A1/en,2017-06-08,https://patentimages.storage.googleapis.com/ef/7c/df/9ebebdd979307b/DE102016123644A1.pdf,16
4589,Rear camera lane detection,US10762358B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10762358B2/en,2020-09-01,https://patentimages.storage.googleapis.com/1a/ab/16/fda860ba9ff71e/US10762358.pdf,27
4590,Pedestrian Detection With Saliency Maps,US20170206426A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20170206426A1/en,2017-07-20,https://patentimages.storage.googleapis.com/e2/90/88/2d4a2ed11a7c75/US20170206426A1.pdf,9
4591,"
  AUDIO WARNINGS FOR REMOTE ONLINE PARKING ASSISTANCE
",DE102018127357A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102018127357A1/en,2019-05-09,https://patentimages.storage.googleapis.com/a5/21/7f/4121a8bff32e1e/DE102018127357A1.pdf,12
4592,Vehicle curvature determination,US10202144B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10202144B2/en,2019-02-12,https://patentimages.storage.googleapis.com/76/ee/75/39b939f731f9a8/US10202144.pdf,53
4593,"
  Roundabout for vehicle",DE102017124749A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017124749A1/en,2018-04-26,https://patentimages.storage.googleapis.com/12/03/55/cb543b5332dcc9/DE102017124749A1.pdf,53
4594,Virtual sensor data generation for wheel stop detection,US10635912B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10635912B2/en,2020-04-28,https://patentimages.storage.googleapis.com/83/7a/db/6c946e4d2a0242/US10635912.pdf,23
4595,Demand-activated remote control and/or monitoring system for motor vehicles,EP2762988B1,"EP, CN, DE",,"Ford Global Technologies, LLC",https://patents.google.com/patent/EP2762988B1/en,2019-06-19,https://patentimages.storage.googleapis.com/03/03/2f/8bd94d24b42c04/EP2762988B1.pdf,2
4596,"
  VEHICLE CLASSIFICATION SYSTE",DE102019117618A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102019117618A1/en,2020-01-02,https://patentimages.storage.googleapis.com/2a/6a/ac/e87f387cfd2b37/DE102019117618A1.pdf,2
4597,"
  REFINING SYNTHETIC DATA WITH A GENERATIVE ADVERSARIAL NETWORK USING AUXILIARY INPUT",DE102018121808A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102018121808A1/en,2019-03-14,https://patentimages.storage.googleapis.com/d3/45/5e/39958409adce23/DE102018121808A1.pdf,2
4598,"
  Sealing-based object recognition for a vehicle door support syste",DE202016103658U1,"US, CN, DE, MX",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE202016103658U1/en,2016-08-23,https://patentimages.storage.googleapis.com/dd/91/ce/dd2789febd7e79/DE202016103658U1.pdf,2
4599,Mobile device control for powered door,US9813541B2,"US, CN, DE, MX",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9813541B2/en,2017-11-07,https://patentimages.storage.googleapis.com/6e/e5/65/8324d53d579a79/US9813541.pdf,173
4600,Power management for vehicle door system,US11047163B2,"US, CN, DE, MX",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US11047163B2/en,2021-06-29,https://patentimages.storage.googleapis.com/63/c7/4e/f999d289a31f86/US11047163.pdf,168
4601,"
  FAHRZEUGWEGPLANUN",DE102019122027A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102019122027A1/en,2020-02-20,https://patentimages.storage.googleapis.com/de/80/04/24d59e7b2dff12/DE102019122027A1.pdf,168
4602,Detecting low-speed close-range vehicle cut-in,US9746550B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9746550B2/en,2017-08-29,https://patentimages.storage.googleapis.com/6a/67/67/5fe2d4a161ef55/US9746550.pdf,20
4603,Moving object detection for power door system,US10161175B2,"US, CN, MX",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10161175B2/en,2018-12-25,https://patentimages.storage.googleapis.com/7d/3d/08/8058a79f98fc61/US10161175.pdf,154
4604,Parallel parking assistant,US10325502B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10325502B2/en,2019-06-18,https://patentimages.storage.googleapis.com/e5/8c/cb/4628cf9fb7d472/US10325502.pdf,28
4605,"Vehicle, electric vehicle and method of autonomous vehicle control",RU2720225C2,"US, CN, DE, GB, MX, RU",,"¬¶¬°¬²¬¥ ¬¤¬­¬°¬µ¬¢¬¡¬­ ¬´¬¦¬¬¬¯¬°¬­¬°¬¥¬¨¬ª¬©, ¬¿¬Ý¬¿¬Ý¬³¬Ú",https://patents.google.com/patent/RU2720225C2/en,2020-04-28,https://patentimages.storage.googleapis.com/85/17/c8/207bbf19cdb44d/RU2720225C2.pdf,6
4606,Method and system for remote control of motor vehicles,US10789787B2,"US, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10789787B2/en,2020-09-29,https://patentimages.storage.googleapis.com/5c/04/c2/471154f341e083/US10789787.pdf,50
4607,Method and device for modifying the configuration of a driving assistance system of a motor vehicle,US10311652B2,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10311652B2/en,2019-06-04,https://patentimages.storage.googleapis.com/53/b1/59/b5f1d5c7676f52/US10311652.pdf,17
4608,Collision Avoidance Using Auditory Data Augmented With Map Data,US20180186369A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc.",https://patents.google.com/patent/US20180186369A1/en,2018-07-05,https://patentimages.storage.googleapis.com/7f/52/68/f044e494ea456d/US20180186369A1.pdf,23
4609,Cleaning system for a vehic,US20190091738A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20190091738A1/en,2019-03-28,https://patentimages.storage.googleapis.com/90/10/e0/441127bb862e37/US20190091738A1.pdf,23
4610,"
  VEHICLE SENSOR CONDITION MONITORIN",DE102018101110A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102018101110A1/en,2018-07-19,https://patentimages.storage.googleapis.com/ce/9b/fe/bc0d5509bd7048/DE102018101110A1.pdf,23
4611,"
  STEERING ANGLE CONTROL FOR MULTIPLE CHARACTERISTIC",DE102016105382A1,"US, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102016105382A1/en,2016-09-29,https://patentimages.storage.googleapis.com/9f/05/1a/6e0443afa067f6/DE102016105382A1.pdf,23
4612,Vehicle occupant comfort,US9145129B2,"US, CN, DE, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9145129B2/en,2015-09-29,https://patentimages.storage.googleapis.com/18/dd/6f/22e73595cf3fca/US9145129.pdf,16
4613,Method and device for assisting a maneuvering process of a motor vehicle,US10363960B2,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10363960B2/en,2019-07-30,https://patentimages.storage.googleapis.com/84/29/73/06cd889c35416a/US10363960.pdf,16
4614,Vehicle passenger identification,US9823081B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9823081B2/en,2017-11-21,https://patentimages.storage.googleapis.com/81/93/7d/47d1ca07e51985/US9823081.pdf,25
4615,"
  PASSENGER AIR TRAFFIC SYSTEM AND METHOD USING AN AUTONOMOUS SHUTTLE VEHICL",DE102017120972A1,"US, CN, DE, MX",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017120972A1/en,2018-03-15,https://patentimages.storage.googleapis.com/9c/be/c0/ed27902fdee5e1/DE102017120972A1.pdf,25
4616,Autonomous vehicle restraint deployment,US9815425B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9815425B2/en,2017-11-14,https://patentimages.storage.googleapis.com/ec/e6/fe/e5751a28f287d2/US9815425.pdf,33
4617,Handwheel obstruction detection and inertia compensation,US10421490B2,US,,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10421490B2/en,2019-09-24,https://patentimages.storage.googleapis.com/e2/b4/40/106fb4d7dded93/US10421490.pdf,93
4618,"
  IDENTIFICATION OF APPROPRIATE VEHICLE CHARGING STATION",DE102016117371A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102016117371A1/en,2017-03-30,https://patentimages.storage.googleapis.com/dd/0d/5d/a5cab0a05d4869/DE102016117371A1.pdf,93
4619,"
  Authentication between vehicles using visual contextual information
",DE102016121151A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102016121151A1/en,2017-06-14,https://patentimages.storage.googleapis.com/d4/a2/c2/5b11fa84759f84/DE102016121151A1.pdf,124
4620,Steering wheel activates,CN108688722A,"US, CN, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN108688722A/en,2018-10-23,https://patentimages.storage.googleapis.com/21/2b/0a/6b21d740058915/CN108688722A.pdf,40
4621,System and method for autonomous valet parking using plenoptic cameras,US10046760B2,"US, CN, DE, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10046760B2/en,2018-08-14,https://patentimages.storage.googleapis.com/65/d1/25/b7bc4fe617e959/US10046760.pdf,19
4622,"
  PARKING VEHICLES WITH FUEL CELL AND BATTERY POWER SUPPLIE",DE102015108678A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102015108678A1/en,2015-12-17,https://patentimages.storage.googleapis.com/0a/fe/dc/8e2ac347c36cde/DE102015108678A1.pdf,19
4623,"
  Vehicle-to-vehicle charging syste",DE102017122177A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017122177A1/en,2018-03-29,https://patentimages.storage.googleapis.com/d4/91/d1/53871ddf5982ad/DE102017122177A1.pdf,19
4624,"
  CARRIER FOR AN AIRBA",DE102018125554A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102018125554A1/en,2019-04-18,https://patentimages.storage.googleapis.com/0e/27/4b/42c7ba722a8b42/DE102018125554A1.pdf,19
4625,Distinguishing lane markings for a vehicle to follow,US9829888B2,"US, CN, DE, GB, MX",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9829888B2/en,2017-11-28,https://patentimages.storage.googleapis.com/1d/29/c0/6fd978739b2c53/US9829888.pdf,18
4626,Perception-based speed limit estimation and learning,US10275664B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10275664B2/en,2019-04-30,https://patentimages.storage.googleapis.com/1f/52/bd/c2ce1bb0cb23c9/US10275664.pdf,29
4627,Vehicle seat including airbag,US9994181B1,"US, CN, DE, GB, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9994181B1/en,2018-06-12,https://patentimages.storage.googleapis.com/94/54/04/ab9f0e33b6bc51/US9994181.pdf,19
4628,"
  Magnetic object recognition for a vehicle door support syste",DE202016103746U1,"US, CN, DE, MX",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE202016103746U1/en,2016-09-05,https://patentimages.storage.googleapis.com/df/fc/af/57a38d5ae401c1/DE202016103746U1.pdf,19
4629,"
  Vehicle mode planning with learned user preferences
",DE102017108447A1,"US, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017108447A1/en,2017-11-02,https://patentimages.storage.googleapis.com/83/9e/ab/412459bab3ac94/DE102017108447A1.pdf,25
4630,Assisted hitching system with handoff process for interrupted operation,US11124201B2,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US11124201B2/en,2021-09-21,https://patentimages.storage.googleapis.com/ac/91/5e/d4223dc145802f/US11124201.pdf,38
4631,Autonomous driving in areas for non-drivers,US20150066282A1,"US, CN, DE, RU",,"Ford Global Technologeis, Llc",https://patents.google.com/patent/US20150066282A1/en,2015-03-05,https://patentimages.storage.googleapis.com/05/ac/85/39609cdf8d0e4e/US20150066282A1.pdf,11
4632,"
  Autonomous vehicle with automatic sun viso",DE102015103194A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102015103194A1/en,2015-09-17,https://patentimages.storage.googleapis.com/39/33/bd/24f1dc56271fe8/DE102015103194A1.pdf,11
4633,"
  Affective user interface in an autonomous vehicle
",DE102014118479A1,"US, CN, DE, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102014118479A1/en,2015-06-25,https://patentimages.storage.googleapis.com/dd/7e/43/78414e371bd7fc/DE102014118479A1.pdf,5
4634,Emergency evacuation using autonomous driving,GB2558378A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2558378A/en,2018-07-11,https://patentimages.storage.googleapis.com/f4/85/c8/728ec49db4e794/GB2558378A.pdf,6
4635,"
  Sampling system and method for autonomous driving
",DE102015202859A1,"US, CN, DE, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102015202859A1/en,2015-08-27,https://patentimages.storage.googleapis.com/77/4e/b7/ec593923a23d86/DE102015202859A1.pdf,6
4636,Autonomous driving style learning,GB2523232A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2523232A/en,2015-08-19,https://patentimages.storage.googleapis.com/16/e0/f4/b60c9b04150986/GB2523232A.pdf,7
4637,Method and apparatus for operating vehicle either manually controllable or capable of autonomous driving,CN105984463A,"US, CN, DE",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN105984463A/en,2016-10-05,https://patentimages.storage.googleapis.com/40/b4/12/75be98e2d21037/CN105984463A.pdf,6
4638,Autonomous-vehicle-control system and method incorporating occupant preferences,US10266182B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10266182B2/en,2019-04-23,https://patentimages.storage.googleapis.com/e1/9b/32/586ec0c3b3352d/US10266182.pdf,22
4639,Autonomous vehicle control for impaired driv,US20150066284A1,"US, CN, DE, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20150066284A1/en,2015-03-05,https://patentimages.storage.googleapis.com/7f/8f/1d/8593dfe79503d0/US20150066284A1.pdf,22
4640,Autonomous police vehicle,GB2553036A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2553036A/en,2018-02-21,https://patentimages.storage.googleapis.com/78/9e/5c/e340039be22725/GB2553036A.pdf,5
4641,Autonomous vehicle emergency modes of operation,CN107021099A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN107021099A/en,2017-08-08,https://patentimages.storage.googleapis.com/77/1b/b2/d6751f2cd857d8/CN107021099A.pdf,8
4642,"
  Transition from autonomous vehicle control to responsiveness to driver control
",DE102014218526A1,"US, CN, DE, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102014218526A1/en,2015-03-26,https://patentimages.storage.googleapis.com/08/d3/86/d525c86ba4cc3d/DE102014218526A1.pdf,8
4643,Automated driving solution gateway,US10106106B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10106106B2/en,2018-10-23,https://patentimages.storage.googleapis.com/ac/ed/2c/3479d434c8813f/US10106106.pdf,54
4644,"
  Virtual autonomous response test benc",DE102016100492A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102016100492A1/en,2016-07-21,https://patentimages.storage.googleapis.com/2b/e1/30/4aad03b85c8770/DE102016100492A1.pdf,54
4645,"
  AUTONOMOUS PARKING OF VEHICLES IN VERTICAL PARKING BANKS
",DE102018100384A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102018100384A1/en,2018-07-19,https://patentimages.storage.googleapis.com/4e/3e/93/3b9c30add3a6bd/DE102018100384A1.pdf,39
4646,Autonomous Vehicle Entertainment System,CN104670110A,"US, CN, DE, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN104670110A/en,2015-06-03,https://patentimages.storage.googleapis.com/4b/cd/ed/5835b4622846b1/CN104670110A.pdf,9
4647,"
  Windscreen cleaning in an autonomous vehicle
",DE102014218984A1,"US, CN, DE, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102014218984A1/en,2015-03-26,https://patentimages.storage.googleapis.com/3c/4b/0b/b060b0215fff7a/DE102014218984A1.pdf,7
4648,Vehicle exterior surface object detection,US10037033B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10037033B2/en,2018-07-31,https://patentimages.storage.googleapis.com/5b/9c/13/bc2b08ae406b50/US10037033.pdf,18
4649,"
  Portable computer in an autonomous vehicle
",DE102014223258A1,"US, CN, DE, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102014223258A1/en,2015-05-28,https://patentimages.storage.googleapis.com/35/3d/a1/d9ee73f5e60614/DE102014223258A1.pdf,18
4650,"
  Monitoring of autonomous vehicle braking
",DE102014219916A1,"US, CN, DE, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102014219916A1/en,2015-04-09,https://patentimages.storage.googleapis.com/03/82/96/a08ee023f888c2/DE102014219916A1.pdf,18
4651,Autonomous vehicle media control,US9335765B2,"US, CN, DE, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9335765B2/en,2016-05-10,https://patentimages.storage.googleapis.com/97/52/d1/904205622d961c/US9335765.pdf,12
4652,"
  Method for controlling a vehicle with temporarily autonomous vehicle guidance and control device
",DE102013206212A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102013206212A1/en,2014-10-09,https://patentimages.storage.googleapis.com/f7/42/83/6e27aa15d9cfe9/DE102013206212A1.pdf,5
